User_Id,Place_Id,Place_Ratings,Place_Name,Category,City
1,179,3,Curug Gunung Karang,Cagar Alam,Cianjur
1,344,2,Situ Sanghyang Shrine,Cagar Alam,Majalengka
1,5,5,Farm House Susu Lembang,Taman Hiburan,Bandung
1,373,3,Cikao Park,Cagar Alam,Purwakarta
1,101,4,Gunung Putri Lembang,Cagar Alam,Bandung
1,312,2,Patilasan Prabu Siliwangi(Tapakan),Budaya,Majalengka
1,258,5,Danau Sea Game Ciampel,Cagar Alam,Karawang
1,20,4,Amazing Art World,Budaya,Bandung
1,154,2,Kebun Durian Warso Farm,Taman Hiburan,Bogor
1,393,5,Situ Cigangsa,Cagar Alam,Purwakarta
1,103,3,Citatah Cliff 125,Cagar Alam,Bandung
1,208,5,De Wisdom Garut,Taman Hiburan,Garut
1,89,3,Glamping Lakeside Rancabali,Taman Hiburan,Bandung
1,405,5,D'Castello,Taman Hiburan,Subang
1,41,5,Curug Batu Templek,Cagar Alam,Bandung
1,336,4,Gunung Ciwaru,Cagar Alam,Majalengka
1,67,4,Museum Nike Ardilla,Budaya,Bandung
1,292,3,Telaga Remis,Cagar Alam,Kuningan
1,222,3,Wisata Garut Dinoland,Taman Hiburan,Garut
1,76,2,Sungai Palayangan,Cagar Alam,Bandung
1,428,3,Curug Sodong,Cagar Alam,Sukabumi
1,15,3,Alun-Alun Kota Bandung,Taman Hiburan,Bandung
1,246,4,Green Canyon Karawang/Jonggol,Cagar Alam,Karawang
1,265,5,Objek Wisata Cibulan,Cagar Alam,Kuningan
1,21,2,Gua Belanda,Cagar Alam,Bandung
1,328,2,Cikuda Lake,Cagar Alam,Majalengka
1,307,4,Curug Cilutung,Cagar Alam,Majalengka
1,302,2,Leuweung Monyet Cibeureum,Taman Hiburan,Kuningan
1,48,2,Taman Vanda,Taman Hiburan,Bandung
2,147,2,The Jungle Water Adventure,Taman Hiburan,Bogor
2,2,5,Gedung Sate,Budaya,Bandung
2,322,4,Hutan Pinus Batu Nyongclo,Cagar Alam,Majalengka
2,23,3,Gunung Manglayang,Cagar Alam,Bandung
2,85,4,Curug Cimahi,Cagar Alam,Bandung
2,371,3,Citumang Body Rafting 2,Cagar Alam,Pangandaran
2,78,5,Pemandian Air Panas Ciater,Cagar Alam,Bandung
2,111,2,Wisata Alam Pabeasan,Taman Hiburan,Bandung
2,107,2,Curug Bugbrug,Cagar Alam,Bandung
2,185,2,Jayanti Beach,Cagar Alam,Cianjur
2,413,3,Alun-Alun Kota Subang,Taman Hiburan,Subang
2,389,2,Maya Datar Park,Taman Hiburan,Purwakarta
2,437,5,Ryzzy Azzahra Waterpark,Taman Hiburan,Sukabumi
2,105,2,Bukit Senyum,Cagar Alam,Bandung
2,176,3,Cirata Jangari,Cagar Alam,Cianjur
2,407,5,Gunung Putri Lembang,Cagar Alam,Subang
